Customer_ID,Product_Purchased,Recency_y,Frequency,Monetary,Customer_Lifetime_Days,Purchase_Rate,Total_Items_Sold,Unique_Products_Count_y,Avg_Items_Per_Order_y,Avg_Revenue_Per_Order_y,Avg_Net_Sales_Per_Order_y
CUS_TEST_0001, Garri Processing Plant (Combo) - Locally Assembled ,151,3,552951,798,0.006,335,22,9.1,13999,28752
CUS_TEST_0002, AGRITED Pullets (Hyline Brown Pullets) Day-Old,298,8,52991,1142,0.065,30,14,23.3,1814,21708
CUS_TEST_0003, AMO Broiler Chicks ,99,14,189751,276,0.01,247,26,6.4,11541,43260
CUS_TEST_0004, Papaya Nouna F1,263,18,367326,495,0.185,106,28,10.4,25938,25661
CUS_TEST_0005, Maradona F1 (Dwarf Papaya ,252,15,687337,544,0.006,51,23,13.3,3443,8111
CUS_TEST_0006, DK920 YELLOW Maize Seed – High-Yield ,144,2,619992,1356,0.051,81,14,15.7,11457,28871
CUS_TEST_0007, Iodine (Centre Brand ,346,10,50115,175,0.139,133,24,8,11380,24370
CUS_TEST_0008, Seed Co Maize Seeds ,112,2,354151,364,0.016,285,2,4.3,8783,19249
CUS_TEST_0009, Commercial Day Old Pullets - ISA Brown (Grinphield Brand ,60,17,744583,554,0.034,388,45,18.7,45241,34336
CUS_TEST_0010, Agrited Broiler ,2,8,192962,817,0.044,138,26,9.4,18368,39058
CUS_TEST_0011, AGRITED Pullets (Hyline Brown Pullets) Day-Old,304,1,0.139,834,0.06,184,14,17.9,16328,0.139
CUS_TEST_0012, Vertex Broiler ,254,9,0.016,950,0.199,401,7,5.5,27215,0.016
CUS_TEST_0013, Agrited Pullet ,140,11,0.034,1490,0.14,330,3,15,34595,0.139
CUS_TEST_0014, Vertex Broiler ,37,16,990873,243,0.077,273,47,16.4,28306,0.016
CUS_TEST_0015, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),160,7,537226,984,0.148,340,23,2.5,20915,12285
CUS_TEST_0016, AMO Noilers (Day-Old Chicks),9,10,953699,1192,0.183,472,46,10.8,40915,39365
CUS_TEST_0017, Agrited Broiler ,233,3,354824,1222,0.192,69,43,4.9,38219,26322
CUS_TEST_0018, Hyline Brown AGRITED Day-Old Pullets,99,18,5000,495,0.013,34,47,2.8,16343,13142
CUS_TEST_0019, Agrited Broiler ,147,13,726948,1148,0.08,262,45,29.7,47403,41606
CUS_TEST_0020, CHI Broiler ,304,7,888474,1047,0.022,53,18,10.3,39727,13887
CUS_TEST_0021, Agrited Broiler ,208,4,356754,990,0.068,450,38,24.5,1126,38441
CUS_TEST_0022, Agrited Broilers,131,13,252492,1274,0.035,205,35,8.4,28632,35049
CUS_TEST_0023, Agrited Broilers - Half Carton,152,1,891123,1267,0.13,126,15,20.8,42563,10893
CUS_TEST_0024, Agrited Broilers - Half Carton,54,8,500522,668,0.078,235,25,23,45409,17238
CUS_TEST_0025, Livestock Ear Tag (For Cattle,120,14,492072,1162,0.047,43,37,18.3,21530,41211
CUS_TEST_0026, Lantern Gas Brooder,161,16,39304,208,0.054,240,28,14.7,40964,27199
CUS_TEST_0027, Quality Point-of-Lay Hens (ISA Brown) - 12 Weeks,116,14,505999,1165,0.073,459,10,12.9,45327,20646
CUS_TEST_0028, Regular Drinkers For Chicks (4 and 10 Liters) - - 10 Litres,75,12,332593,1309,0.053,371,39,11.1,4368,16508
CUS_TEST_0029, Agrited Broiler ,113,19,608274,1034,0.091,111,17,28,4797,44839
CUS_TEST_0030, Commercial Day Old Pullet - ISA Brown (Farm Support Brand ,104,15,152836,497,0.007,249,39,25.1,48882,11798
CUS_TEST_0031, Ground Feeding Trays For Chicks,340,2,109940,1346,0.057,151,0.006,29,14718,31478
CUS_TEST_0032, Day-Old Black Cockerels Chicks,254,2,825926,733,0.083,183,0.006,4.6,35560,11482
CUS_TEST_0033, Electric Debeaker for Poultry ,227,19,266517,1256,0.121,336,0.006,22.2,12053,9319
CUS_TEST_0034, AMO Noilers (Day-Old Chicks),112,17,668521,1286,0.055,95,0.006,28.2,23116,32280
CUS_TEST_0035, AI Kit for Pigs,99,10,622820,1338,0.028,459,0.006,6.3,37244,20494
CUS_TEST_0036, Quality Point-of-Lay Hens (ISA Brown) - 12 Weeks,153,6,880090,832,0.016,374,0.006,2.9,37185,4100
CUS_TEST_0037, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,349,15,386777,334,0.188,400,0.006,22.5,2645,7522
CUS_TEST_0038, Agrited Broilers,338,11,625674,757,0.084,8,0.006,17.7,48523,40786
CUS_TEST_0039, Ground Feeding Trays For Chicks,194,5,552638,850,0.117,388,0.006,25.4,20256,24960
CUS_TEST_0040, Paraeforce (Herbicide ,310,1,618296,687,0.184,360,10,5.1,36840,20859
CUS_TEST_0041, HTC Digital Thermometer and Hygrometer (HTC 2),163,8,881729,1132,0.017,388,3,24.1,35622,36622
CUS_TEST_0042, Agrited Broilers,208,12,550639,1197,0.175,184,41,6.8,38430,14375
CUS_TEST_0043, Foreign Turkey Poults - 30Pcs Per Carton (Full Carton ,169,12,613956,1053,0.111,281,45,5.7,40282,8770
CUS_TEST_0044, Darina Cucumber seeds ,161,5,639873,591,0.034,195,18,5.8,3708,35711
CUS_TEST_0045, Darina Cucumber seeds ,68,7,933809,1012,0.083,352,47,24.6,12694,22391
CUS_TEST_0046, Afrimash Broiler ,289,4,338497,1376,0.156,195,36,20.3,10524,32621
CUS_TEST_0047, AMO Broiler Chicks ,277,6,208869,1353,0.097,155,47,16.2,32880,10303
CUS_TEST_0048, Afrimash Broiler ,304,13,66953,1297,0.197,93,22,11.4,40224,19722
CUS_TEST_0049, Afrimash Broiler ,135,15,844890,1291,0.076,160,34,26.4,37980,12975
CUS_TEST_0050, Afrimash Broiler ,195,3,501328,269,0.15,434,47,12.4,33409,41924
CUS_TEST_0051, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),128,8,807790,1045,0.079,61,8,24.7,14224,22189
CUS_TEST_0052, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),33,16,4267,894,0.166,122,40,13.7,41738,1622
CUS_TEST_0053, Darina Cucumber seeds ,176,13,83745,733,0.114,51,49,11.9,26150,18127
CUS_TEST_0054, Chikun Broilers (Day-Old Cobb 500 ,22,18,877020,1317,0.014,403,44,14.4,35393,6950
CUS_TEST_0055, Indian Type Bell Drinker (For Poultry ,238,10,825945,128,0.008,277,19,9.7,44082,5225
CUS_TEST_0056, Earth Augers (1.4kW ,158,19,158164,1288,0.028,5,42,22.7,8973,16832
CUS_TEST_0057, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,38,17,536626,438,0.004,466,41,15.6,9577,2998
CUS_TEST_0058, Day Old Yammfy Broilers (Commercial Arbor Acres),230,19,132484,1488,0.016,92,37,7.7,9070,20879
CUS_TEST_0059, Your Complete Guide to Organic Poultry Farming (72 PAGES ,51,5,532831,1465,0.139,170,6,27.1,9666,37020
CUS_TEST_0060, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,264,9,893323,599,0.107,317,26,12.1,37368,42674
CUS_TEST_0061, Lemon Seedlings ,283,12,952000,610,0.15,22,34,16.8,7783,14659
CUS_TEST_0062, Vertex Broiler ,27,1,61692,1450,0.183,405,45,27.3,46994,32219
CUS_TEST_0063, Beginners Guide To Broiler Farming (184 Pages) - E-Book,226,1,221156,316,0.117,326,6,19.1,42914,9505
CUS_TEST_0064, Vertex Broiler ,277,15,224992,1424,0.145,1,37,4.4,5971,43680
CUS_TEST_0065, Commercial Day-Old ZARTECH Broilers (Cobb 500),286,2,517771,1255,0.152,133,33,28.3,14490,24036
CUS_TEST_0066, Agrited Ross 308 Broilers (Commercial Day-old Chicks),97,16,831857,1193,0.076,233,22,19.2,46719,23219
CUS_TEST_0067, Vertex Broiler ,284,8,564044,1375,0.049,12,21,10.7,46080,20778
CUS_TEST_0068, Commercial Day-Old ZARTECH Broilers (Cobb 500),317,13,544176,544,0.042,346,6,5,2990,38409
CUS_TEST_0069, Electric Hand Debeaker (220V/150W),304,1,692095,975,0.051,46,6,24,6299,16158
CUS_TEST_0070, Poultry Drinking Water Line Pipe Cleaning Tool,147,16,0.006,1305,0.056,34,48,19,46765,34977
CUS_TEST_0071, Crownceryl Antibiotic {100g},4,7,0.006,266,0.042,433,4,16.5,20956,30178
CUS_TEST_0072, Commercial Day-Old ZARTECH Broilers (Cobb 500),35,5,0.006,190,0.176,78,30,26.9,23359,38134
CUS_TEST_0073, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),192,3,0.006,813,0.152,218,11,23.9,47240,12182
CUS_TEST_0074, Farm Support Pullets (Day-Old ISA Brown Pullets),49,12,0.006,138,0.01,301,30,5.4,38148,15396
CUS_TEST_0075, Amo Broiler ,17,16,0.006,1249,0.054,411,31,10,29734,34372
CUS_TEST_0076, Bronze Level Membership,172,19,0.006,272,0.005,73,24,8.2,5757,14021
CUS_TEST_0077, Bronze Level Membership,220,5,0.006,752,0.1,282,9,22.6,20097,2079
CUS_TEST_0078, Day-Old Pullets (Zartech),158,14,0.006,853,0.096,249,3,2,11395,7883
CUS_TEST_0079, Agrited Broilers - One Carton,46,5,977535,1343,0.166,47,31,17.5,17241,44661
CUS_TEST_0080, Day-Old Chikun Pullets (Olam Brand ,6,15,745086,1181,0.062,121,40,23.1,39356,18571
CUS_TEST_0081, Day-Old Chikun Pullets (Olam Brand ,99,17,401573,575,0.163,214,37,26.4,28696,30775
CUS_TEST_0082, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),233,14,426695,555,0.194,239,36,10.9,5944,19863
CUS_TEST_0083, Day-Old Marshall Broilers (Grinphield),37,5,62476,928,0.019,56,24,24.8,47163,2906
CUS_TEST_0084, Egg Incubator ( 64 ,280,12,307955,994,0.159,350,31,4.2,20816,25357
CUS_TEST_0085, Lagon Plant Herbicide ,349,16,168280,1484,0.118,107,6,25.5,38011,21407
CUS_TEST_0086, Day-Old ZARTECH Broilers (Cobb 500) - Half Carton,302,16,676510,1124,0.097,319,2,4.7,25917,38399
CUS_TEST_0087, Your Complete Guide to Organic Poultry Farming (72 PAGES ,181,7,596468,486,0.085,48,20,12.5,32195,29329
CUS_TEST_0088, Day-Old ZARTECH Broilers (Cobb 500) - One Carton,95,4,699646,447,0.157,61,28,24.1,22566,36754
CUS_TEST_0089, Agrited Broilers - Half Carton,99,1,638144,289,0.128,337,11,5.3,10916,28656
CUS_TEST_0090, Day-Old ZARTECH Broilers (Cobb 500) - One Carton,188,5,855882,604,0.161,26,4,7.6,21806,3373
CUS_TEST_0091, AMO Noilers (Day-Old Chicks),116,10,415568,1314,0.181,292,15,21.9,10984,13608
CUS_TEST_0092, AMO Noilers (Day-Old Chicks),191,5,187141,1492,0.124,257,6,21.9,2759,36167
CUS_TEST_0093, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),253,4,899320,923,0.196,8,49,19.6,42949,37601
CUS_TEST_0094, Day-Old Black Pullets (2 weeks Pre-Order),161,2,635736,1028,0.122,113,30,21.1,27838,41996
CUS_TEST_0095, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),256,10,539685,1033,0.128,355,38,16.7,3482,34872
CUS_TEST_0096, Day-Old Black Pullets (2 weeks Pre-Order),323,19,960059,1240,0.111,253,2,8.3,25442,24552
CUS_TEST_0097, Commercial Day-Old ZARTECH Broilers (Cobb 500),128,1,179031,233,0.019,180,15,11,34719,18485
CUS_TEST_0098, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),18,5,919232,157,0.146,207,11,6.3,28965,42201
CUS_TEST_0099, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),281,13,969021,784,0.11,303,8,27.3,3079,12172
CUS_TEST_0100, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),223,4,120180,771,0.091,127,26,17.9,3717,9796
