Customer_ID,Recency,Avg_Order_Value,Customer_Lifetime_Days,Purchase_Rate,Total_Items_Sold,Product_Purchased,
CUS_TEST_0001,12578,0,0,0,1, Garri Processing Plant (Combo) - Locally Assembled ,
CUS_TEST_0002,116,277.97,4,0.036,36, AGRITED Pullets (Hyline Brown Pullets) Day-Old,
CUS_TEST_0003,1,5,2,0.002,1, AMO Broiler Chicks ,
CUS_TEST_0004,321,353.43,154,0.09,37, Papaya Nouna F1,
CUS_TEST_0005,31,109.97,900,0.018,6, Maradona F1 (Dwarf Papaya ,
CUS_TEST_0006,1,0,0,0,1, DK920 YELLOW Maize Seed – High-Yield ,
CUS_TEST_0007,325,411,946,0.048,23, Iodine (Centre Brand ,
CUS_TEST_0008,344,34.51,1959,0.189,41, Seed Co Maize Seeds ,
CUS_TEST_0009,1,5,2,0.002,1, Commercial Day Old Pullets - ISA Brown (Grinphield Brand ,
CUS_TEST_0010,75,0.008,875,0.059,80, Agrited Broiler ,
CUS_TEST_0011,45,184.43,1922,0.157,28, AGRITED Pullets (Hyline Brown Pullets) Day-Old,
CUS_TEST_0012,260,17.75,1711,0.161,2, Vertex Broiler ,
CUS_TEST_0013,154,47.8,1781,0.197,38, Agrited Pullet ,
CUS_TEST_0014,155,456.47,1963,0.12,31, Vertex Broiler ,
CUS_TEST_0015,363,183.88,703,0.017,14, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0016,1,5,2,0.002,1, AMO Noilers (Day-Old Chicks),
CUS_TEST_0017,1,5,2,0.002,1, Agrited Broiler ,
CUS_TEST_0018,1,5,2,0.002,1, Hyline Brown AGRITED Day-Old Pullets,1
CUS_TEST_0019,262,301.45,1203,0.062,88, Agrited Broiler ,
CUS_TEST_0020,315,192.38,1507,0.172,77, CHI Broiler ,
CUS_TEST_0021,2,2,5,0.192,5, Agrited Broiler ,
CUS_TEST_0022,245,443.63,1738,0.044,29, Agrited Broilers,
CUS_TEST_0023,30,197.81,1473,0.019,51, Agrited Broilers - Half Carton,
CUS_TEST_0024,122,251.82,1075,0.04,49, Agrited Broilers - Half Carton,
CUS_TEST_0025,125,0.008,235,0.164,43, Livestock Ear Tag (For Cattle,
CUS_TEST_0026,1269,5,2,0.002,1, Lantern Gas Brooder,
CUS_TEST_0027,1,5,2,0.002,1, Quality Point-of-Lay Hens (ISA Brown) - 12 Weeks,
CUS_TEST_0028,124,261.67,1409,0.081,72, Regular Drinkers For Chicks (4 and 10 Liters) - - 10 Litres,
CUS_TEST_0029,357,134.15,469,0.116,87, Agrited Broiler ,
CUS_TEST_0030,1,5,2,0.002,1, Commercial Day Old Pullet - ISA Brown (Farm Support Brand ,
CUS_TEST_0031,87,152.83,1149,0.096,5, Ground Feeding Trays For Chicks,
CUS_TEST_0032,134,387.66,1982,0.159,42, Day-Old Black Cockerels Chicks,
CUS_TEST_0033,196,219.47,970,0.196,7, Electric Debeaker for Poultry ,
CUS_TEST_0034,274,111.05,193,0.187,42, AMO Noilers (Day-Old Chicks),
CUS_TEST_0035,1,0,0,0,1, AI Kit for Pigs,
CUS_TEST_0036,285,4,1583,0.081,27, Quality Point-of-Lay Hens (ISA Brown) - 12 Weeks,
CUS_TEST_0037,77,433.94,323,0.094,58, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,
CUS_TEST_0038,59,458.48,224,0.141,46, Agrited Broilers,
CUS_TEST_0039,126,431.31,692,0.185,66, Ground Feeding Trays For Chicks,
CUS_TEST_0040,109,27.15,509,0.029,25, Paraeforce (Herbicide ,
CUS_TEST_0041,224,395.81,1930,0.062,73, HTC Digital Thermometer and Hygrometer (HTC 2),
