Customer_ID,Product,Predicted_Likelihood
CUS000001,000 Seeds - Below 10 bags,1.0
CUS000001,000),1.0
CUS000001,10-12cm (Jumbo),1.0
CUS000001,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000001,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000001,120 Eggs Incubator,1.0
CUS000001,128 Birds Layer Cages (Premium,1.0
CUS000001,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000001,2 inches wide (Black/Blue),1.0
CUS000001,2 males [800g],1.0
CUS000002,"""KAAS-TOLTRA 250",1.0
CUS000002,(Organic Fertilizer and Soil Conditioner,1.0
CUS000002,000 Seeds - 10 bags and above,1.0
CUS000002,000 Seeds - Below 10 bags,1.0
CUS000002,000),1.0
CUS000002,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000002,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000002,10,1.0
CUS000002,1000 Layers Business Plan (2022 Edition),1.0
CUS000002,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000003,(Organic Fertilizer and Soil Conditioner,1.0
CUS000003,000 Seeds,1.0
CUS000003,000 Seeds - 10 bags and above,1.0
CUS000003,000 Seeds - Below 10 bags,1.0
CUS000003,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000003,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000003,10-12cm (Jumbo),1.0
CUS000003,1000 Layers Business Plan (2022 Edition),1.0
CUS000003,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000003,100g,1.0
CUS000004,000 Seeds,1.0
CUS000004,000 Seeds - 10 bags and above,1.0
CUS000004,000 Seeds - Below 10 bags,1.0
CUS000004,000),1.0
CUS000004,10,1.0
CUS000004,10-12cm (Jumbo),1.0
CUS000004,1000 Layers Business Plan (2022 Edition),1.0
CUS000004,120 capacity,1.0
CUS000004,128 Birds Layer Cages (Premium,1.0
CUS000004,150kg Spring Scale,1.0
CUS000005,000 Seeds,1.0
CUS000005,000 Seeds - 10 bags and above,1.0
CUS000005,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000005,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000005,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000005,10,1.0
CUS000005,1000 Layers Business Plan (2022 Edition),1.0
CUS000005,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000005,100g,1.0
CUS000005,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000007,(Organic Fertilizer and Soil Conditioner,1.0
CUS000007,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
